State,co2_2016,co2_2017,co2_2018,co2_2019,co2_2020,co2_2021,co2_2022,co2_2023
Alabama,45,45.5,46.9,46.8,49.2,54.2,57.4,58.6
Alaska,23.3,22.2,22.9,21.6,19.5,21.5,21.6,19.7
Arizona,20.7,21.3,23.4,21.5,18.1,20.4,20.8,19.7
Arkansas,13.1,12.8,13.1,12.7,11.1,11.4,10.9,11.1
California,8.9,9,9,9,7.6,8.2,8.3,8.3
Colorado,15.9,15.7,15.7,15.9,13.7,14.6,14.8,13.9
Connecticut,9.4,9.4,10.3,10.2,9.3,10,10.2,9.9
Delaware,15.1,14.3,14.4,13.9,12.3,12.6,12.4,11.7
Florida,11.5,11.3,11.3,10.8,9.6,10.3,10.3,10
Georgia,14,13.5,13.4,12.8,10.8,11.5,11.4,11.4
Hawaii,13.7,14.1,14.1,14.3,10.1,11.9,12.6,12.5
Idaho,22.9,23.5,25.3,23.7,19.8,22.2,22.3,21.1
Illinois,10.9,10.9,10.8,11.2,10.4,10.7,10.7,10.8
Indiana,16,15.9,16.6,15.9,13.1,14.4,14.5,13.2
Iowa,27.3,26.3,28.1,26.1,22.6,24.3,23.9,22.4
Kansas,21.4,20.2,21.5,20.7,19.6,20.3,21.2,19.6
Kentucky,28.4,26.1,27.4,25.6,22.4,24.6,24.3,23
Louisiana,40.3,41.3,41.7,41.8,39.3,40.6,42,40.1
Maine,9.4,9.4,9.3,9.2,7.5,8,8.4,8
Maryland,10,9.1,10.2,9.4,7.7,8.5,8.2,7.8
Massachusetts,12.1,11.4,11,10.7,9.9,10.4,10.8,11.1
Michigan,15.5,15.6,16.3,15.9,13.5,14.7,15.3,14
Minnesota,16.3,16.2,16.7,16.1,13.5,14.4,14.7,14
Mississippi,19.5,20.3,20.3,19,17.6,18.9,18.3,16.4
Missouri,20.7,20.1,21.1,20.9,21.3,21.3,22.1,21.7
Montana,29.9,29.6,29.4,30.2,24.1,25.7,26.4,26
Nebraska,12.2,11.7,11.9,11.6,10.2,10.9,10.9,10.2
Nevada,72.1,74.6,77.3,74.3,71.2,72.2,73.5,68.8
New Hampshire,25.2,24.8,27.1,26,23.6,24,24.4,22.9
New Jersey,10.2,10,10.5,10.2,9,9.6,9.9,9.7
New Mexico,11.8,11.1,11.8,11.3,9,9.6,10,9.7
New York,23.3,23.6,21.8,23.2,21.3,21.6,22,19.9
North Carolina,13.7,13.5,13.6,13.5,11.6,12.5,12.7,12.2
North Dakota,8.6,8.4,8.9,8.6,7.1,7.9,8.4,8.4
Ohio,17.6,17.5,17.8,16.8,15.7,16.4,16.7,15.6
Oklahoma,24.3,23.6,24.9,23,21.1,21.9,21.6,21.4
Oregon,9.1,9.2,9.3,9.8,8.7,8.9,8.8,9.1
Pennsylvania,17,16.8,17.1,17.1,14.8,16.4,16.5,15.4
Rhode Island,9,9.3,10.3,9.6,8.8,9.7,9.2,10
South Carolina,14.5,13.8,14.5,13.4,12.3,13.3,12.8,12.8
South Dakota,17,16.7,17.6,17.9,16.8,16.8,17,16.4
Tennessee,15.2,14.4,13.8,13.5,12,13.2,12.9,12.4
Texas,23.4,23.4,23.8,23.5,21.4,22.4,22.1,21.8
Utah,19.3,19,19.4,19.2,17.4,18.6,17.7,16
Vermont,13,12.4,12.9,12.4,11.3,11.3,11.1,10.8
Virginia,9.4,9.3,9.3,9.6,8.4,8.6,8.5,8.4
Washington,10.8,10.6,10.4,11,8.8,9.5,9.6,9.7
West Virginia,16.5,17,17.4,16.2,14.7,15.7,15.4,14.5
Wisconsin,51.5,49.9,49.3,47.5,42.8,49.4,44.6,42.1
Wyoming,104.6,108.2,110.2,101.7,96.1,94,96.7,92.9