State,Political_2016,Political_2017,Political_2018,Political_2019,Political_2020,Political_2021,Political_2022,Political_2023
Alabama,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Alaska,Divided,Divided,Divided,Rep,Rep,Rep,Rep,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Divided
Arkansas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Divided,Divided,Divided,Dem,Dem,Dem,Dem,Dem
Connecticut,Dem,Divided,Divided,Dem,Dem,Dem,Dem,Dem
Delaware,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Florida,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Divided,Divided,Divided,Dem,Dem,Dem,Dem,Dem
Indiana,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Iowa,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kansas,Rep,Rep,Rep,Divided,Divided,Divided,Divided,Divided
Kentucky,Divided,Rep,Rep,Rep,Divided,Divided,Divided,Divided
Louisiana,Rep,Divided,Divided,Divided,Divided,Divided,Divided,Divided
Maine,Divided,Divided,Divided,Dem,Dem,Dem,Dem,Dem
Maryland,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Dem
Massachusetts,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Dem
Michigan,Rep,Rep,Rep,Divided,Divided,Divided,Divided,Dem
Minnesota,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Dem
Mississippi,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Missouri,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Montana,Divided,Divided,Divided,Divided,Divided,Rep,Rep,Rep
Nebraska,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Nevada,Rep,Divided,Divided,Dem,Dem,Dem,Dem,Divided
New Hampshire,Divided,Rep,Rep,Divided,Divided,Rep,Rep,Rep
New Jersey,Divided,Divided,Dem,Dem,Dem,Dem,Dem,Dem
New Mexico,Divided,Divided,Divided,Dem,Dem,Dem,Dem,Dem
New York,Divided,Dem,Divided,Dem,Dem,Dem,Dem,Dem
North Carolina,Rep,Divided,Divided,Divided,Divided,Divided,Divided,Divided
North Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oklahoma,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oregon,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Pennsylvania,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Divided
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Texas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Dem,Divided,Divided,Divided,Divided,Divided,Divided,Divided
Virginia,Divided,Divided,Divided,Divided,Dem,Dem,Divided,Divided
Washington,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem
West Virginia,Divided,Divided,Rep,Rep,Rep,Rep,Rep,Rep
Wisconsin,Rep,Rep,Rep,Divided,Divided,Divided,Divided,Divided
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep